felizonazinha	feliz+A+AUG+DIM+F+SG
felizoninha	feliz+A+AUG+DIM+F+SG
felizoninhas	feliz+A+AUG+DIM+F+PL
ferocíssima	feroz+A+SUPER+F+SG
ferocíssimas	feroz+A+SUPER+F+PL
ferocíssimo	feroz+A+SUPER+M+SG
ferocíssimos	feroz+A+SUPER+M+PL
ferozes	feroz+A+PL
ferozezinhas	feroz+A+DIM+F+PL
ferozezinhos	feroz+A+DIM+M+PL
feroz	feroz+A+SG
ferozinha	feroz+A+DIM+F+SG
ferozinhas	feroz+A+DIM+F+PL
ferozinho	feroz+A+DIM+M+SG
ferozinhos	feroz+A+DIM+M+PL
fidelíssima	fiel+A+SUPER+F+SG
fidelíssimas	fiel+A+SUPER+F+PL
fidelíssimo	fiel+A+SUPER+M+SG
fidelíssimos	fiel+A+SUPER+M+PL
fiéis	fiel+A+PL
fieizinhas	fiel+A+DIM+F+PL
fieizinhos	fiel+A+DIM+M+PL
fiel	fiel+A+SG
fielzinha	fiel+A+DIM+F+SG
fielzinho	fiel+A+DIM+M+SG
francesa	francês+A+F+SG
francesas	francês+A+F+PL
francesazinha	francês+A+DIM+F+SG
francesazinhas	francês+A+DIM+F+PL
franceses	francês+A+M+PL
francesezinhos	francês+A+DIM+M+PL
francês	francês+A+M+SG
francesinha	francês+A+DIM+F+SG
francesinhas	francês+A+DIM+F+PL
francesinho	francês+A+DIM+M+SG
francesinhos	francês+A+DIM+M+PL
hebreia	hebreu+A+F+SG
hebréia	hebreu+A+F+SG
hebreias	hebreu+A+F+PL
hebréias	hebreu+A+F+PL
hebreiazinha	hebreu+A+DIM+F+SG
hebreiazinhas	hebreu+A+DIM+F+PL
hebreinha	hebreu+A+DIM+F+SG
hebreinhas	hebreu+A+DIM+F+PL
hebreu	hebreu+A+M+SG
hebreus	hebreu+A+M+PL
hebreuzinho	hebreu+A+DIM+M+SG
hebreuzinhos	hebreu+A+DIM+M+PL
ilhéu	ilhéu+A+M+SG
ilhéus	ilhéu+A+M+PL
ilheuzinho	ilhéu+A+DIM+M+SG
ilheuzinhos	ilhéu+A+DIM+M+PL
ilhoa	ilhéu+A+F+SG
ilhoas	ilhéu+A+F+PL
ilhoazinha	ilhéu+A+DIM+F+SG
ilhoazinhas	ilhéu+A+DIM+F+PL
ilhoinha	ilhéu+A+DIM+F+SG
ilhoinhas	ilhéu+A+DIM+F+PL
inglesa	inglês+A+F+SG
inglesas	inglês+A+F+PL
inglesazinha	inglês+A+DIM+F+SG
inglesazinhas	inglês+A+DIM+F+PL
ingleses	inglês+A+M+PL
inglesezinhos	inglês+A+DIM+M+PL
inglês	inglês+A+M+SG
inglesinha	inglês+A+DIM+F+SG
inglesinhas	inglês+A+DIM+F+PL
inglesinho	inglês+A+DIM+M+SG
